event_id,investigation_type,accident_number,event_date,location,country,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,is_destroyed
20001213X25440,Accident,DCA88WA049,1988-04-03,"SCHWENNIGEN, GERMANY",Germany,,,Non-Fatal,Substantial,,Cessna,ce-206,No,0.0,unknown,unknown,0.0,0.0,0.0,1.0,unk,,False
20001213X25533,Accident,MIA88RA139,1988-04-04,"FREEPORT, Bahamas",Bahamas,,,Fatal(5),Destroyed,,Cessna,421a,No,0.0,unknown,personal,5.0,0.0,0.0,0.0,vmc,,True
20001213X25426,Accident,CHI88FA092,1988-04-04,"HARDWICK, MN",United States,,,Fatal(1),Destroyed,,Cessna,207,No,1.0,reciprocating,unknown,1.0,0.0,0.0,0.0,vmc,maneuvering,True
20001213X25495,Accident,LAX88LA154,1988-04-04,"PINE VALLEY, CA",United States,,,Non-Fatal,Substantial,,Cessna,150,No,1.0,reciprocating,instructional,0.0,1.0,0.0,0.0,vmc,cruise,False
20001213X25494,Accident,LAX88LA153,1988-04-04,"BAKERSFIELD, CA",United States,L45,BAKERSFIELD MUNI,Non-Fatal,Substantial,,Hiller,uh-12d,No,1.0,reciprocating,ferry,0.0,0.0,0.0,1.0,vmc,cruise,False
20001213X25463,Accident,FTW88DRA05,1988-04-04,"LA SALLE, TX",United States,,,Non-Fatal,Substantial,,Hiller,uh-12e,No,1.0,reciprocating,aerial application,0.0,0.0,0.0,1.0,vmc,maneuvering,False
20001213X25454,Accident,DEN88LA092,1988-04-04,"CHEYENNE, WY",United States,,CHEYENNE MUNICIPAL,Non-Fatal,Substantial,,Cessna,210l,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,go-around,False
20001213X25421,Accident,CHI88DEM03,1988-04-04,"ALLEGAN, MI",United States,,,Non-Fatal,Substantial,,Grumman,g-164a,No,1.0,reciprocating,aerial application,0.0,0.0,0.0,1.0,vmc,maneuvering,False
20001213X25391,Accident,ATL88LA132,1988-04-04,"MC CULLOUGH, AL",United States,,SOUTH AL AVN.,Non-Fatal,Substantial,,Beech,m35,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,False
20001213X25411,Accident,BFO88FA034,1988-04-05,"MANASSAS, VA",United States,W10,MANASSAS,Fatal(4),Destroyed,,Piper,pa-28-140,No,1.0,reciprocating,personal,4.0,0.0,0.0,0.0,vmc,approach,True
20001213X25539,Accident,MKC88LA074,1988-04-05,"SPRINGFIELD, MO",United States,3DW,SPRINGFIELD DTWN,Non-Fatal,Substantial,,Piper,pa-23-250,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,False
